Video ID,Song Title,Album Title,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5
EcSvMFm2ABE,Motion Picture Soundtrack,Kid A,Radiohead,,,,
DaSNtMnkt6A,Moves,I Can't Let Go,Suki Waterhouse,,,,
bJ8Sz8CJY5g,Mr. Blue Sky,Out of the Blue,Electric Light Orchestra,,,,
m2zUrruKjDQ,Mr. Brightside,Hot Fuss,The Killers,,,,
1Hq1QutDy9k,Mr. Incorrect,Mr. Incorrect,Malcolm Todd,,,,
eNgsB1srBw8,Much Too Much,The Alexander Technique,Rex Orange County,,,,
Hf244LCkkLc,Music Sounds Better With You,Music Sounds Better With You,Stardust,,,,
qQzdAsjWGPg,My Way (2008 Remastered),Nothing But The Best (2008 Remastered),Frank Sinatra,,,,
wkUVO6frGqE,Need 2,Everything So Far,Pinegrove,,,,
iGNUcQo1vxU,Nemo,Malcolm Todd (still),Malcolm Todd,,,,
W9teUoAtvoE,Nikamma,Jaago,Lifafa,,,,
f3cgcyx-oOQ,No Other Heart,Another One,Mac DeMarco,,,,
7374CZQoS2Y,No Surprises,OK Computer OKNOTOK 1997 2017,Radiohead,,,,
phLb_SoPBlA,Not Like Us,Not Like Us,Kendrick Lamar,,,,
Nv3bQao8l3I,Nothing,To Let A Good Thing Die,Bruno Major,,,,
hsQaOhAY13U,Now and at the Hour of Our Death,THY KINGDOM COME,$uicideboy$,BONES,,,
4-aiSnnghQk,Nude,In Rainbows,Radiohead,,,,
WdSGEvDGZAo,NUEVAYoL,DeBÍ TiRAR MáS FOToS,Bad Bunny,,,,
9x5WY_jmsko,"Ob-La-Di, Ob-La-Da (Remastered 2009)",The Beatles 1967 - 1970,The Beatles,,,,
CU0i9W_XkDI,Ode To The Mets,The New Abnormal,The Strokes,,,,
NgLWF2XJyKA,Old Yellow Bricks,Favourite Worst Nightmare,Arctic Monkeys,,,,
VZGt8DFyX6A,On & Off,On & Off,marQ,,,,
NLjswuFGXeE,On My Way,A Message from the Moon,Tsumyoki,Elttwo,,,
uU9Fe-WXew4,On Sight,Yeezus,Kanye West,,,,
iPml9-MUCpA,One Of These Days,The Alexander Technique,Rex Orange County,,,,
xBpqkPl8E_Y,Otro Atardecer,Un Verano Sin Ti,Bad Bunny,The Marías,,,
QJAL6VpX4dY,Over the Rainbow,Alone In Iz World,Israel Kamakawiwo'ole,,,,
W_K0hemcU5o,Paper Planes,Kala,M.I.A.,,,,
yfg52QhXlVo,Perfect Life,Perfect Life,Tsumyoki,,,,
SlbfAYvA_gI,Photograph,x (Deluxe Edition),Ed Sheeran,,,,
LLbew85exp0,Piano Man,Piano Man (Legacy Edition),Billy Joel,,,,
tVoiTA2qakE,Pink Blue,Pink Blue,Tsumyoki,Bharg,,,
nr7ne_wf5l4,Plage Coquillage (First Kiss Song),Plage Coquillage (First Kiss Song),Tao Mon Amour,,,,
SdKZajZ59uA,Pluto Projector,Pony,Rex Orange County,,,,
jOLT6ukrQSg,poster boy,2,2hollis,,,,
s_s-sXX4Kt4,Punkrocker (As featured in Superman),Soft Machine,Teddybears,Iggy Pop,,,
Va6ehQYsE0g,Pure,The Alexander Technique,Rex Orange County,,,,
qcZcISJAEb4,Razorblade,First Impressions Of Earth,The Strokes,,,,
py8v0sIXlZY,Regent's Park,To Let A Good Thing Die,Bruno Major,,,,
PmwGyulDeHs,Remember To Dance (Little Things),Remember To Dance (Little Things),Bruno Major,Adrián Berenguer,,,
exvt4dzmuaI,Resonance,Odyssey,Home,,,,
w1Smzzw_w7Q,Ride,Blurryface,twenty one pilots,,,,
BF2_ipR1OI0,Risk It All,The Romantic,Bruno Mars,,,,
X9c8momlvA8,Robbers,The 1975,The 1975,,,,
4OncUpJmhtk,Room For You,Room For You,grentperez,Lyn Lapid,,,
nNN88hijp-o,Roommates,Roommates,Malcolm Todd,,,,
VhEoCOWUtcU,Runaway,My Beautiful Dark Twisted Fantasy,Kanye West,Pusha T,,,
xKYDli0wl4o,Satellite,Satellite,Will Paquin,,,,
lS9Kgp6PsWY,Save Your Tears ((Remix) Bonus Track),After Hours (Deluxe),The Weeknd,Ariana Grande,,,
f9HF0DJ1cu8,Secret Door,Humbug,Arctic Monkeys,,,,
qEygdC7nmcU,Selfless,The New Abnormal,The Strokes,,,,
3cKtSlsYVEU,September,"The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",,,,
D_QLxj8jCF0,Seven Nation Army,Elephant,The White Stripes,,,,
RDuzszjrdcc,Seven Nation Army,Elephant,The White Stripes,,,,
pKzrZDAA8sg,Seventh Heaven,Seventh Heaven,INOHA,,,,
Ha1SXnSbJys,She's Always a Woman,Greatest Hits Volume I & Volume II,Billy Joel,,,,
ZUDBd-md0VE,Sienna,Submarine,The Marías,,,,
oHVVoe2Vj8s,Sign of the Times,Harry Styles,Harry Styles,,,,
4De_ERjvuUI,SLOW DANCING IN THE DARK,BALLADS 1,Joji,,,,
l5FknKiyg70,Smile,Smile,The Royal Concept,,,,
Im57pcoJ5Dk,Sodchona,Sodchona,Cyrus Berne,,,,
hJn4Abio0DM,Sofia,Immunity,Clairo,,,,
Xps2MU_uVps,Someone To Spend Time With,Someone To Spend Time With,Los Retros,,,,
LWXUdqvVO8Y,Somethin' Stupid,The World We Knew,Frank Sinatra,Nancy Sinatra,,,
0LuignGmX_0,Somewhere Only We Know,Hopes And Fears,Keane,,,,
twnw0RkK6zE,Somewhere Only We Know (Live From Mexico City / 2024 / Edit),Live From Mexico City 2024,Keane,,,,
O8xncnNMxTA,Sparks,THE BEST EVER: Acoustic,Coldplay,,,,
vkUeWTBH1Kg,Stand By Me,Don't Play That Song (Mono),Ben E. King,,,,
7wOcT-4tfGQ,Staring,Staring,Tipling Rock,,,,
aBKEt3MhNMM,Starman,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie,,,,
yuIB3jmC_0M,STORM II,STORM,GENER8ION,Yung Lean,,,
8M3Vlnu_i3c,Story of My Life,Midnight Memories (Deluxe),One Direction,,,,
ftqfjEKBvWk,Streetcar,Pilgrim's Paradise,Daniel Caesar,,,,
r7Rn4ryE_w8,Sunflower (Spider-Man: Into the Spider-Verse),Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Post Malone,Swae Lee,,,
LV_V4Rsd9eU,SUPERPOSITION,CASE STUDY 01,Daniel Caesar,John Mayer,,,
bSe3xemu1LY,Superpowers,NEVER ENOUGH,Daniel Caesar,,,,
p9OtySpRRL8,Sweet Boy,Sweet Boy,Malcolm Todd,,,,
eRhg7qPLeN8,Sweet Dreams (Are Made of This) (2005 Remaster),Sweet Dreams (Are Made Of This),Eurythmics,,,,
qBeBqcqdSrk,"Sweet Dreams, TN",Everything You’ve Come To Expect,The Last Shadow Puppets,,,,
d11xns8lE4w,Take Me Out,Franz Ferdinand,Franz Ferdinand,,,,
JKlYOUfviXM,Take Me To Church,Hozier,Hozier,,,,
dSlYFtXENPo,Teenage Dirtbag,Wheatus,Wheatus,,,,
8ttpbQoJ7Ro,Tejano Blue,X's,Cigarettes After Sex,,,,
gPfmCw3UveY,Television / So Far So Good,Apricot Princess,Rex Orange County,,,,
826mxiKjoP0,The Adults Are Talking,The New Abnormal,The Strokes,,,,
Wml-iRl2lD8,The Born In Goa Anthem,The Born In Goa Anthem,Born In Goa,Princeton Colaco,Skeletron,Waking Grunt,BRAGA
F5b6dIe5_O4,The Modern Age,Is This It,The Strokes,,,,
3gv-XKHj0rw,The Most Beautiful Thing,To Let A Good Thing Die,Bruno Major,,,,
qQ0zxuWFxrY,The Reason,The Reason (15th Anniversary Deluxe),Hoobastank,,,,
EegPbRtmzXY,The Rebel Path,Cyberpunk 2077 - Original Score,P.T. Adamczyk,,,,
gm-Y9idMMQ4,The Scientist,A Rush of Blood to the Head,Coldplay,,,,
821xtdngxFo,The Table,The Alexander Technique,Rex Orange County,,,,
 -htLOynize8,the way things go,the way things go,beabadoobee,,,,
leZsqe2w5AY,The Winner Is,Little Miss Sunshine (Original Motion Picture Soundtrack),DeVotchKa,Mychael Danna,,,
3r-qDvD3F3c,There Is a Light That Never Goes Out,The Queen Is Dead,The Smiths,,,,
lhg9bYNLvOg,Thunderstruck,The Razors Edge,AC/DC,,,,
E0UN-pVTLf4,Til Kingdom Come,X&Y,Coldplay,,,,
XUKyV49P8F0,Time to Pretend,Oracular Spectacular,MGMT,,,,
SPWKAiRhZcs,Tom Tom (Flaxans Version),Tom Tom (Flaxans Version),Holy Fuck,,,,
pkV5Lh2dZ_A,Tongue Tied,Never Trust a Happy Song,GROUPLOVE,,,,
IN-PeAZDi7g,Too Sweet,Unreal Unearth: Unheard,Hozier,,,,
RaaccfAJiOo,Toronto 2014,NEVER ENOUGH,Daniel Caesar,Mustafa,,,
4QLvEIXlF6Q,traitor,SOUR,Olivia Rodrigo,,,,
mbVKGlh3gg4,True Love Waits (Live in Oslo),I Might Be Wrong,Radiohead,,,,
aHmg0jsmNhg,vampire,GUTS,Olivia Rodrigo,,,,
tceoGDRxtcI,We Are Sex Bob-Omb,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),Sex Bob-Omb,,,,
f_K_0SNaRk0,We Are Young,Some Nights,fun.,Janelle Monáe,,,
iGKJe7QGoXk,What You Know,Tourist History (Deluxe Edition),Two Door Cinema Club,,,,
S0V9zehc_h8,Where'd All the Time Go?,"Shame, Shame (Deluxe Edition)",Dr. Dog,,,,
ToO4VFCoR7U,White Ferrari,Blonde,Frank Ocean,,,,
Wzn4BLtE73o,Who Knows,Son Of Spergy,Daniel Caesar,,,,
_kUDTJA1KWk,Why Are Sundays So Depressing,The New Abnormal,The Strokes,,,,
lyzaCAf5a6s,Wishful Thinking,Wishful Thinking,grentperez,,,,
6_-A5QPt6Qg,Would That I,"Wasteland, Baby!",Hozier,,,,
9qnqYL0eNNI,Yellow,Parachutes,Coldplay,,,,
CTZbs0GHoFg,You Owe Me,Two New Malcolm Todd Songs,Malcolm Todd,,,,





